Candidate,Party,Votes
ACHAR HALAPPA BASAPPA,Bharatiya Janata Party,79072
BASAVARAJ RAYAREDDI,Indian National Congress,65754
VEERANAGOUDA POLICE PATIL BALLUTAGI,Janata Dal (Secular),14591
ANNADANARAJA AYYANAGOUDA NADAGOUDA,Janahitha Paksha,913
RAHAMANSAB S MANGALORE,Independent,739
V SADASHIVARAO,Independent,617
ALLABHAXI FAKRUDDINSAB KUKANOOR,All India Mahila Empowerment Party,424
NINGAPPA BALAPPA,Independent,343
SHARANABASAPPA KALLAPPA DAANAKAI,Shivsena,288
NAVEEN HOSAPETI,Independent,230
ZAKIRHUSAIN HUSAINSAB,Independent,186
None of the Above,None of the Above,1510
