Candidate,Party,Votes
NEHARU OLEKAR,Bharatiya Janata Party,86565
RUDRAPPA LAMANI,Indian National Congress,75261
SANJAY DANGE,Janata Dal (Secular),3099
BASAVARAJ NAGAPPA NAGAMMANAVAR,Independent,1088
DURAGESH MEGALAMANI,Bhaarateeya Janashakthi Congress,689
BABAKKA BALAYYA BALLARI,All India Mahila Empowerment Party,326
PRADEEP RAMANNA MALAGAVI,Independent,319
KALAVATI CHAVHAN,Independent,308
BASAVARAJ TEEKEHALLI,Karnataka Jantha Paksha,247
KENCHAMMA HANUMANTAPPA NAGANOOR,BhartiyaBahujanKranti Dal,239
DURAGAPPA GALEPPA MADAR,Independent,221
RENUKA KENCHALLANAVAR,Republican Party of India (A),167
None of the Above,None of the Above,2062
