Candidate,Party,Votes
DINESH GUNDU RAO,Indian National Congress,47354
A.R. SAPTHAGIRI GOWDA,Bharatiya Janata Party,37284
V. NARAYANASWAMY,Janata Dal (Secular),36635
V. NAGARAJ,Independent,1476
M.P. YUVARAJ,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHGAM (AMMA),545
A. ELANKOVAN,Aam Aadmi Party,515
S. MOHAN KUMAR,Independent,286
R. MURTHY,Independent,171
G. KRISHNA,All India Mahila Empowerment Party,163
MOHAMED MUJAHID,Jana Samanyara Party (Karnataka),123
DR DINESH KUMAR A,Independent,108
SYED KAREEM,Samajwadi Party,91
None of the Above,None of the Above,2074
