Candidate,Party,Votes
CHANNABASAPPA SATHYAPPA SHIVALLI,Indian National Congress,64871
CHIKKANAGOUDRA SIDDANAGOUD ISHWARAGOD,Bharatiya Janata Party,64237
HAJARATALI A SHEKH JODAMANI,Janata Dal (United),7318
AKKI MALLIKARJUNA SAHADEVAPPA,Janata Dal (Secular),6280
BASAVARAJ SHIVAPPA SOMAVARAD,Indian New Congress Party,827
SHANTAPPA VEERAPPA ALADAKATTI,Independent,684
VEERAPPA GURUSHANTAPPA MARADAGI,Independent,604
SHAILA SURESH GONI,All India Mahila Empowerment Party,476
NAGAPPA YALLAPPA BALAGALI,Independent,308
IRAYYA SHIVALINGAYYA HIREMATH,Independent,302
YALLAPPA HANAMAPPA DABAGONDI,Independent,297
NINGAPPA SIDDAPPA BADIGER,Independent,288
None of the Above,None of the Above,1032
