Candidate,Party,Votes
BALACHANDRA LAKSHMANARAO JARAKIHOLI,Bharatiya Janata Party,96144
BHIMAPPA GUNDAPPA GADAD,Janata Dal (Secular),48816
ARVIND MAHADEVRAO DALWAI,Indian National Congress,23253
CHUNAPPA UDDAPPA PUJERI,Independent,2962
ASHOK P HANAJI,Sarva Janata Party,1745
BHIMAPPA SIDDAPPA NAIK,Independent,1161
SHANKARGOUDA NINGANNGOUDA PADESUR,All India Mahila Empowerment Party,830
LAXMAN BASAPPA TOLI,Shivsena,627
None of the Above,None of the Above,1398
