Candidate,Party,Votes
M KRISHNAPPA,Bharatiya Janata Party,152469
R K RAMESH,Indian National Congress,122052
R PRABHAKAR REDDY,Janata Dal (Secular),36164
K ABHISHEK,AARAKSHAN VIRODHI PARTY,823
D K SHIVASHANKAR,Independent,735
SREENIVASU,Independent,644
ANBU,Independent,479
SIRAJUDDIN,All India Mahila Empowerment Party,415
M KRISHANAPPA,Independent,377
CHAND BHASHA,Republican Sena,346
R RAJESH,Independent,343
MANJUNATH K H,Independent,274
V CHETHAN,Kannada Paksha,207
APPAJI GOWDA,Independent,191
None of the Above,None of the Above,15829
