Candidate,Party,Votes
SATISH. L. JARKIHOLI,Indian National Congress,73512
ASTAGI MARUTI MALLAPPA,Bharatiya Janata Party,70662
SHANKAR BHARAMA GASTI,Janata Dal (Secular),1837
DR: YALGUND BASANAIK NAIK,Karnataka Jantha Paksha,1299
BHIMASHI SIDDAPPA NAIK,Independent,520
None of the Above,None of the Above,1702
