Candidate,Party,Votes
BASAVARAJ BOMMAI,Bharatiya Janata Party,83868
SAYED AZEEMPEER KHADRI,Indian National Congress,74603
SOMANNA URF SWAMILING BEVINAMARAD,Independent,7203
ASHOK BEVINAMAR,Janata Dal (Secular),1353
SUNIL J A,Independent,968
MAINUDDIN KATIB,All India Mahila Empowerment Party,950
SHIVAPPA KABANUR,Independent,352
HATHIWALE SIKHANDAR,Praja Parivartan Party,237
DUDDUSAB KANAVALLI,Independent,143
MOHAN HITTANAGI,Independent,111
MAHABUBAKHAN PATHAN,Independent,102
PARAMESHI SHETIBAR,Independent,95
None of the Above,None of the Above,1089
