Candidate,Party,Votes
AIHOLE DURYODHAN MAHALINGAPPA,Bharatiya Janata Party,67502
PRADEEPKUMAR RAMU MALAGE,Indian National Congress,50954
MAHAVEER MOHITE,Independent,24627
DR.RAJEEV KAMBLE,Bahujan Samaj Party,1724
RAMANNA DATTU PATROT,Independent,677
ASHOK NILAPPA DANDINNAVAR,Independent,642
NILAPPA KASHAPPA GEBADYAGOL,Nationalist Congress Party,617
PRABHAKAR H GAGGARI,Independent,503
TYAGARAJ P. KADAM,Karnataka Rajya Ryota Sangha,366
SANADI BHIMASHEN,Independent,349
KEMPAYYA MALLAYYA HIREMATH,Independent,339
ANANTKUMAR Y. BYAKUD,Independent,271
HOSAMANI SURESH B,Shivsena,234
PRAKASH KALLAPPA MAISHALE,Bharatiya Prajagala Kalyana Paksha,217
MANJULA VASANT ASODE,Republican Party of India (A),193
None of the Above,None of the Above,1184
