STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,VARUNA,V SIDDARAJU,INDEPENDENT,263
KARNATAKA,VARUNA,B SIDDAIAH,INDEPENDENT,260
KARNATAKA,VARUNA,A R SWAMY,BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY,238
KARNATAKA,VARUNA,YOGENDRA P B,REPUBLICAN SENA,216
KARNATAKA,VARUNA,NONE OF THE ABOVE,NONE OF THE ABOVE,1497
KARNATAKA,NARASIMHARAJA,TANVEER SAIT,INDIAN NATIONAL CONGRESS,62268
KARNATAKA,NARASIMHARAJA,S.SATHEESH (SANDESH SWAMY),BHARATIYA JANATA PARTY,44141
KARNATAKA,NARASIMHARAJA,ABDUL MAJEED.,SOCIAL DEMOCRATIC PARTY OF INDIA,33284
KARNATAKA,NARASIMHARAJA,ABDUL AZEEZ(ABDULLA),JANATA DAL (SECULAR),14709
KARNATAKA,NARASIMHARAJA,B M NATARAJU,SAMAJWADI PARTY,3471
KARNATAKA,NARASIMHARAJA,ANIL KUMAR S,BHAARATEEYA JANASHAKTHI CONGRESS,841
KARNATAKA,NARASIMHARAJA,VENKATESHA MURTHY K S,SAMANYA JANATHA PARTY (LOKTANTRIK),436
KARNATAKA,NARASIMHARAJA,G.B.SHIVANNA,INDEPENDENT,386
KARNATAKA,NARASIMHARAJA,LOKESH KUMAR G,INDEPENDENT,315
KARNATAKA,NARASIMHARAJA,VAALMIKI NINGARAJU,INDEPENDENT,166
KARNATAKA,NARASIMHARAJA,MOHAMMED THAHER ALI,NAMMA CONGRESS,155
KARNATAKA,NARASIMHARAJA,M.MADHU,INDEPENDENT,153
KARNATAKA,NARASIMHARAJA,JAYANTH D SOUZA,INDEPENDENT,139
KARNATAKA,NARASIMHARAJA,MANGALAGOWRI,ALL INDIA MAHILA EMPOWERMENT PARTY,118
KARNATAKA,NARASIMHARAJA,M KHALID,INDEPENDENT,97
KARNATAKA,NARASIMHARAJA,NONE OF THE ABOVE,NONE OF THE ABOVE,1206
KARNATAKA,CHAMARAJA,L. NAGENDRA,BHARATIYA JANATA PARTY,51683
KARNATAKA,CHAMARAJA,VASU,INDIAN NATIONAL CONGRESS,36747
KARNATAKA,CHAMARAJA,K.S RANGAPPA,JANATA DAL (SECULAR),27284
KARNATAKA,CHAMARAJA,K. HARISH GOWDA,INDEPENDENT,21282
