STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,ARKALGUD,MANJUNATHA .H .P,BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY,1035
KARNATAKA,ARKALGUD,H. T. SATHYA,ALL INDIA MAHILA EMPOWERMENT PARTY,486
KARNATAKA,ARKALGUD,LATHA .K .M,REPUBLICAN PARTY OF INDIA (A),481
KARNATAKA,ARKALGUD,NONE OF THE ABOVE,NONE OF THE ABOVE,1189
KARNATAKA,HOLENARASIPUR,H D REVANNA,JANATA DAL (SECULAR),108541
KARNATAKA,HOLENARASIPUR,MANJEGOWDA B P,INDIAN NATIONAL CONGRESS,64709
KARNATAKA,HOLENARASIPUR,M N RAJU,BHARATIYA JANATA PARTY,3667
KARNATAKA,HOLENARASIPUR,B K NAGARAJA,REPUBLICAN SENA,964
KARNATAKA,HOLENARASIPUR,B N MANJE GOWDA,INDEPENDENT,606
KARNATAKA,HOLENARASIPUR,H D REVANNA,INDEPENDENT,438
KARNATAKA,HOLENARASIPUR,M MAHESH URF HARSHA,INDEPENDENT,298
KARNATAKA,HOLENARASIPUR,MOHAMMED HANEEF,ALL INDIA MAHILA EMPOWERMENT PARTY,289
KARNATAKA,HOLENARASIPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,984
KARNATAKA,HASSAN,PREETHAM J GOWDA,BHARATIYA JANATA PARTY,63348
KARNATAKA,HASSAN,H S PRAKASH,JANATA DAL (SECULAR),50342
KARNATAKA,HASSAN,H K MAHESH,INDIAN NATIONAL CONGRESS,38101
KARNATAKA,HASSAN,ZAREEN TAJ,ALL INDIA MAHILA EMPOWERMENT PARTY,378
KARNATAKA,HASSAN,R G SATHISH,INDEPENDENT,366
KARNATAKA,HASSAN,MOHAMMED SHARJEEL,INDEPENDENT,214
KARNATAKA,HASSAN,DHARMEGOWDA,BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY,146
KARNATAKA,HASSAN,AKMAL JAVEED,INDEPENDENT,146
KARNATAKA,HASSAN,SATHISH K H,REPUBLICAN PARTY OF INDIA (A),106
KARNATAKA,HASSAN,K J JACOB,INDEPENDENT,99
KARNATAKA,HASSAN,NIRVANAIAH K S,REPUBLICAN SENA,93
KARNATAKA,HASSAN,HEMANTH KUMAR C,SHIVSENA,82
KARNATAKA,HASSAN,H A NANJEGOWDA,LOK AWAZ DAL,64
KARNATAKA,HASSAN,NONE OF THE ABOVE,NONE OF THE ABOVE,953
KARNATAKA,BELUR,LINGESHA. K.S.,JANATA DAL (SECULAR),64268
KARNATAKA,BELUR,H.K. SURESH,BHARATIYA JANATA PARTY,44578
KARNATAKA,BELUR,KEERTHANA RUDRESHAGOWDA,INDIAN NATIONAL CONGRESS,39519
KARNATAKA,BELUR,THOLACHANAYKA B.D,INDEPENDENT,1170
KARNATAKA,BELUR,ARUNA N.R (ARUNGOWDA),SHIVSENA,675
KARNATAKA,BELUR,SANGAMESHA. S.B,INDEPENDENT,525
KARNATAKA,BELUR,H.B.CHANDRAKANTHA,REPUBLICAN PARTY OF INDIA (A),438
KARNATAKA,BELUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1106
KARNATAKA,ARSIKERE,K.M SHIVALINGE GOWDA,JANATA DAL (SECULAR),93986
KARNATAKA,ARSIKERE,G.B.SHASHIDHARA,INDIAN NATIONAL CONGRESS,50297
KARNATAKA,ARSIKERE,G. MARISWAMY,BHARATIYA JANATA PARTY,25258
KARNATAKA,ARSIKERE,N.C CHANDRASHEKARA,REPUBLICAN PARTY OF INDIA (A),1354
KARNATAKA,ARSIKERE,JAGADISHA C.B,SAMANYA JANATHA PARTY (LOKTANTRIK),539
KARNATAKA,ARSIKERE,SHAHEEN,ALL INDIA MAHILA EMPOWERMENT PARTY,446
KARNATAKA,ARSIKERE,NONE OF THE ABOVE,NONE OF THE ABOVE,1079
KARNATAKA,SHRAVANABELAGOLA,C N BALAKRISHNA,JANATA DAL (SECULAR),105516
KARNATAKA,SHRAVANABELAGOLA,C S PUTTEGOWDA,INDIAN NATIONAL CONGRESS,52504
KARNATAKA,SHRAVANABELAGOLA,SHIVANANJEGOWDA,BHARATIYA JANATA PARTY,7506
KARNATAKA,SHRAVANABELAGOLA,DWARAKISH,ALL INDIA MAHILA EMPOWERMENT PARTY,415
KARNATAKA,SHRAVANABELAGOLA,BOJEGOWDA,SAMANYA JANATHA PARTY (LOKTANTRIK),414
KARNATAKA,SHRAVANABELAGOLA,NONE OF THE ABOVE,NONE OF THE ABOVE,906
KARNATAKA,KRISHNARAJAPETE,NARAYANAGOWDA,JANATA DAL (SECULAR),88016
KARNATAKA,KRISHNARAJAPETE,K B CHANDRASHEKAR,INDIAN NATIONAL CONGRESS,70897
KARNATAKA,KRISHNARAJAPETE,B C MANJU,BHARATIYA JANATA PARTY,9819
KARNATAKA,KRISHNARAJAPETE,K N SHANKAREGOWDA,INDEPENDENT,1524
KARNATAKA,KRISHNARAJAPETE,LOKESH B N,INDEPENDENT,1139
KARNATAKA,KRISHNARAJAPETE,ASHOK,JAI BHARATH JENA SENA PARTY,381
KARNATAKA,KRISHNARAJAPETE,A C KANTHA,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,290
KARNATAKA,KRISHNARAJAPETE,RAVIKUMAR L R,INDEPENDENT,273
KARNATAKA,KRISHNARAJAPETE,R JAGADISH,INDEPENDENT,213
KARNATAKA,KRISHNARAJAPETE,MANJULA,INDEPENDENT,182
KARNATAKA,KRISHNARAJAPETE,PUTTANNA S GOWDA,INDEPENDENT,176
KARNATAKA,KRISHNARAJAPETE,NONE OF THE ABOVE,NONE OF THE ABOVE,1093
KARNATAKA,NAGAMANGALA,SURESH GOWDAA,JANATA DAL (SECULAR),112396
KARNATAKA,NAGAMANGALA,N CHALUVARAYASWAMY,INDIAN NATIONAL CONGRESS,64729
KARNATAKA,NAGAMANGALA,GOWDA DR. PARTHASARATHY V.,BHARATIYA JANATA PARTY,1915
KARNATAKA,NAGAMANGALA,B. S. GOWDA,KARNATAKA JANTHA PAKSHA,652
KARNATAKA,NAGAMANGALA,RUKMINI MALLIKARJUNA,INDEPENDENT,384
KARNATAKA,NAGAMANGALA,A. YADAVANAHALLI P. C. KRISHNEGOWDA,INDEPENDENT,186
KARNATAKA,NAGAMANGALA,VENKATESHA,INDEPENDENT,184
KARNATAKA,NAGAMANGALA,B. V. DHARANENDRABABU,INDEPENDENT,139
KARNATAKA,NAGAMANGALA,N. S. ASHOKA,INDEPENDENT,136
KARNATAKA,NAGAMANGALA,VASIM ULLA KHAN,ALL INDIA MAHILA EMPOWERMENT PARTY,104
KARNATAKA,NAGAMANGALA,NONE OF THE ABOVE,NONE OF THE ABOVE,647
KARNATAKA,SHRIRANGAPATTANA,RAVINDRA SRIKANTAIAH,JANATA DAL (SECULAR),101307
KARNATAKA,SHRIRANGAPATTANA,A.B.RAMESHA BANDISIDDEGOWDA,INDIAN NATIONAL CONGRESS,57619
KARNATAKA,SHRIRANGAPATTANA,NANJUNDEGOWDA.K. S,BHARATIYA JANATA PARTY,11326
KARNATAKA,SHRIRANGAPATTANA,VENKATESHA.C.S,AAM AADMI PARTY,1941
KARNATAKA,SHRIRANGAPATTANA,MOHAN KUMAR U. KIRANGOORU PAAPU,INDEPENDENT,1736
KARNATAKA,SHRIRANGAPATTANA,S.S.RAJASHEKARAIAH,INDEPENDENT,462
KARNATAKA,SHRIRANGAPATTANA,SATHEESHA.H.M,PRAJA PARIVARTAN PARTY,433
KARNATAKA,SHRIRANGAPATTANA,C.LINGEGOWDA,INDEPENDENT,334
KARNATAKA,SHRIRANGAPATTANA,M.M. MAHESHA GOWDA,INDEPENDENT,210
KARNATAKA,SHRIRANGAPATTANA,SURESHA.V,ALL INDIA MAHILA EMPOWERMENT PARTY,205
KARNATAKA,SHRIRANGAPATTANA,KEMPEGOWDA,INDEPENDENT,136
KARNATAKA,SHRIRANGAPATTANA,NONE OF THE ABOVE,NONE OF THE ABOVE,946
KARNATAKA,MANDYA,M SRINIVAS,JANATA DAL (SECULAR),69421
KARNATAKA,MANDYA,P RAVIKUMAR,INDIAN NATIONAL CONGRESS,47813
KARNATAKA,MANDYA,N SHIVANNA,BHARATIYA JANATA PARTY,32064
KARNATAKA,MANDYA,DR S C SHANKAREGOWDA,INDEPENDENT,10564
KARNATAKA,MANDYA,H C SHIVARAMU,INDEPENDENT,1814
KARNATAKA,MANDYA,KAVERI SHREYA M J,ALL INDIA MAHILA EMPOWERMENT PARTY,670
KARNATAKA,MANDYA,M B NAGANNA GOWDA,INDEPENDENT,419
KARNATAKA,MANDYA,RAJESHA CHAKANAHALLI,INDEPENDENT,363
KARNATAKA,MANDYA,KRISHNA C M,INDEPENDENT,308
KARNATAKA,MANDYA,SHIVAKUMAR B S,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,292
KARNATAKA,MANDYA,MANJUNATHA S J,INDEPENDENT,249
KARNATAKA,MANDYA,K MALLESHA,INDEPENDENT,180
KARNATAKA,MANDYA,M C NITHYANANDA,INDEPENDENT,162
KARNATAKA,MANDYA,NONE OF THE ABOVE,NONE OF THE ABOVE,1008
KARNATAKA,MELUKOTE,C S PUTTARAJU,JANATA DAL (SECULAR),96003
KARNATAKA,MELUKOTE,DARSHAN PUTTANNAIAH,SWARAJ INDIA,73779
KARNATAKA,MELUKOTE,SUNDAHALLI SOMASHEKARA,BHARATIYA JANATA PARTY,1595
KARNATAKA,MELUKOTE,B.K.PUTTARAJU,INDEPENDENT,689
KARNATAKA,MELUKOTE,MAHESH VAKEELARU,ALL INDIA MAHILA EMPOWERMENT PARTY,498
KARNATAKA,MELUKOTE,DARSHAN.K.SEENEGOWDA,INDEPENDENT,301
KARNATAKA,MELUKOTE,D K RAVIKUMARA,INDEPENDENT,260
KARNATAKA,MELUKOTE,MAHESHA,JANA SAMANYARA PARTY (KARNATAKA),210
KARNATAKA,MELUKOTE,PUTTARAJU,INDEPENDENT,163
KARNATAKA,MELUKOTE,ROHINI,SAMAJWADI PARTY,153
KARNATAKA,MELUKOTE,ARUNKUMAR,INDEPENDENT,133
KARNATAKA,MELUKOTE,H NARAYANA,INDEPENDENT,117
KARNATAKA,MELUKOTE,G.M.RAMESH,KARNATAKA JANTHA PAKSHA,85
KARNATAKA,MELUKOTE,NONE OF THE ABOVE,NONE OF THE ABOVE,979
KARNATAKA,MADDUR,D.C.THAMMANNA,JANATA DAL (SECULAR),109239
KARNATAKA,MADDUR,MADHU G MADEGOWDA,INDIAN NATIONAL CONGRESS,55209
KARNATAKA,MADDUR,MADDURU SATHISHA,BHARATIYA JANATA PARTY,4159
KARNATAKA,MADDUR,LINGEGOWDA S H,SWARAJ INDIA,450
KARNATAKA,MADDUR,VENKATESHA,INDEPENDENT,429
KARNATAKA,MADDUR,SHIVAMADEGOWDA K R,INDEPENDENT,404
KARNATAKA,MADDUR,VENKATESHA B,DR. AMBEDKAR PEOPLE'S PARTY,182
KARNATAKA,MADDUR,DR.MANOJITH S S,FEDERAL CONGRESS OF INDIA,151
KARNATAKA,MADDUR,P.S. MAHESH KUMAR,INDEPENDENT,146
KARNATAKA,MADDUR,MAHESHA S,INDEPENDENT,101
KARNATAKA,MADDUR,CHETHAN B,INDEPENDENT,98
KARNATAKA,MADDUR,N C PUTTARAJU,INDEPENDENT,90
KARNATAKA,MADDUR,HEENA KOUSER,ALL INDIA MAHILA EMPOWERMENT PARTY,87
KARNATAKA,MADDUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1350
KARNATAKA,MALAVALLI,DR.K.ANNADANI,JANATA DAL (SECULAR),103038
KARNATAKA,MALAVALLI,P.M.NARENDRASWAMY,INDIAN NATIONAL CONGRESS,76278
KARNATAKA,MALAVALLI,B.SOMASHEKHAR,BHARATIYA JANATA PARTY,10808
KARNATAKA,MALAVALLI,M.S.SHASHIKUMAR,INDIAN NEW CONGRESS PARTY,820
KARNATAKA,MALAVALLI,R.SIDDARAJU,INDEPENDENT,523
KARNATAKA,MALAVALLI,M.KRISHNAMURTHY,BHARATIYA RASHTRIYA MAHILA SARVODAYA CONGRESS,363
KARNATAKA,MALAVALLI,T.N.SATHEESH KUMAR,INDEPENDENT,292
KARNATAKA,MALAVALLI,M.NANJAPPA,INDEPENDENT,223
KARNATAKA,MALAVALLI,H.MAHADEVA,INDEPENDENT,222
KARNATAKA,MALAVALLI,H.D.DEVAPRASAD,INDEPENDENT,172
KARNATAKA,MALAVALLI,MANTYALINGU,REPUBLICAN PARTY OF INDIA (A),171
KARNATAKA,MALAVALLI,VISHWANATHA G.S.,ALL INDIA MAHILA EMPOWERMENT PARTY,170
KARNATAKA,MALAVALLI,T.C.VENKATESH,RASHTRIYA MANAV VIKAS PARTY,124
KARNATAKA,MALAVALLI,NONE OF THE ABOVE,NONE OF THE ABOVE,1471
KARNATAKA,CHANNAPATNA,H D KUMARA SWAMY,JANATA DAL (SECULAR),87995
KARNATAKA,CHANNAPATNA,C P YOGEESHWARA,BHARATIYA JANATA PARTY,66465
KARNATAKA,CHANNAPATNA,H M REVANNA,INDIAN NATIONAL CONGRESS,30208
KARNATAKA,CHANNAPATNA,RATNAMMA,INDEPENDENT,927
KARNATAKA,CHANNAPATNA,YOGISHA M,INDEPENDENT,488
KARNATAKA,CHANNAPATNA,ASHWATH P,AMBEDKAR SAMAJ PARTY,473
KARNATAKA,CHANNAPATNA,T M MANCHEGOWDA,INDEPENDENT,417
KARNATAKA,CHANNAPATNA,J T PRAKASH,INDIAN NEW CONGRESS PARTY,381
KARNATAKA,CHANNAPATNA,B M LOKESH,ALL INDIA MAHILA EMPOWERMENT PARTY,121
KARNATAKA,CHANNAPATNA,NAVYASHREE R,INDEPENDENT,109
KARNATAKA,CHANNAPATNA,JAI KISSAN S R,INDEPENDENT,80
KARNATAKA,CHANNAPATNA,K N SIDDARAJU,DR. AMBEDKAR PEOPLE'S PARTY,79
KARNATAKA,CHANNAPATNA,SHILPA K P,SAMANYA JANATHA PARTY (LOKTANTRIK),71
KARNATAKA,CHANNAPATNA,A KRISHNA,INDEPENDENT,50
KARNATAKA,CHANNAPATNA,K V MANU,RASHTRIYA MANAV VIKAS PARTY,46
KARNATAKA,CHANNAPATNA,NONE OF THE ABOVE,NONE OF THE ABOVE,1103
KARNATAKA,KANAKAPURA,D K SHIVAKUMAR,INDIAN NATIONAL CONGRESS,127552
KARNATAKA,KANAKAPURA,NARAYANA GOWDA,JANATA DAL (SECULAR),47643
KARNATAKA,KANAKAPURA,NANDINI GOWDA,BHARATIYA JANATA PARTY,6273
KARNATAKA,KANAKAPURA,N ARUN KUMAR,RASHTRIYA MANAV VIKAS PARTY,1095
KARNATAKA,KANAKAPURA,SHIVA KUMARA M.D,INDEPENDENT,627
KARNATAKA,KANAKAPURA,K.V VISHWANATH,INDEPENDENT,480
KARNATAKA,KANAKAPURA,B R PRAKASHA,PRAJA PARIVARTAN PARTY,406
KARNATAKA,KANAKAPURA,NARAYANA GOWDA,INDEPENDENT,284
KARNATAKA,KANAKAPURA,SHIVARENUKA,INDEPENDENT,255
KARNATAKA,KANAKAPURA,MADAIAH K Y,INDEPENDENT,230
KARNATAKA,KANAKAPURA,PRADEEP KUMAR H L,INDEPENDENT,139
KARNATAKA,KANAKAPURA,NONE OF THE ABOVE,NONE OF THE ABOVE,1168
KARNATAKA,RAMANAGARAM,H.D.KUMARASWAMY,JANATA DAL (SECULAR),92626
KARNATAKA,RAMANAGARAM,IQBAL HUSSAIN.H.A,INDIAN NATIONAL CONGRESS,69990
KARNATAKA,RAMANAGARAM,LEELAVATHI,BHARATIYA JANATA PARTY,4871
KARNATAKA,RAMANAGARAM,J.T.PRAKASH,INDIAN NEW CONGRESS PARTY,1029
KARNATAKA,RAMANAGARAM,SURENDRA RAMANAGARA,INDEPENDENT,469
KARNATAKA,RAMANAGARAM,SIDDAMARAIAH.S.,INDEPENDENT,352
KARNATAKA,RAMANAGARAM,S.KANTARAJU,INDEPENDENT,334
KARNATAKA,RAMANAGARAM,SHIVAKUMAR.S.,INDEPENDENT,182
KARNATAKA,RAMANAGARAM,B.S.KUMAR,INDEPENDENT,180
KARNATAKA,RAMANAGARAM,G.P.SHANKAREGOWDA,INDEPENDENT,148
KARNATAKA,RAMANAGARAM,GULAB JAN,INDEPENDENT,130
KARNATAKA,RAMANAGARAM,MANJUNATH. J,INDEPENDENT,101
KARNATAKA,RAMANAGARAM,BHARATH.N,INDEPENDENT,96
KARNATAKA,RAMANAGARAM,NONE OF THE ABOVE,NONE OF THE ABOVE,1144
KARNATAKA,MAGADI,A. MANJUNATH,JANATA DAL (SECULAR),119492
KARNATAKA,MAGADI,H.C. BALAKRISHNA,INDIAN NATIONAL CONGRESS,68067
KARNATAKA,MAGADI,M.C.HANUMANTHARAJ,BHARATIYA JANATA PARTY,4410
KARNATAKA,MAGADI,MURALI.B,INDEPENDENT,600
KARNATAKA,MAGADI,D.M.MADEGOWDA,ALL INDIA MAHILA EMPOWERMENT PARTY,223
KARNATAKA,MAGADI,PRASHANT.M,INDEPENDENT,217
KARNATAKA,MAGADI,NAVEENKUMAR,INDEPENDENT,112
KARNATAKA,MAGADI,D.SHIVAKUMAR,SAMAJWADI PARTY,94
KARNATAKA,MAGADI,M.G.JAYANANDA SWAMY,INDEPENDENT,91
KARNATAKA,MAGADI,NARASIMHAMURTHY.H,INDEPENDENT,73
KARNATAKA,MAGADI,NONE OF THE ABOVE,NONE OF THE ABOVE,839
KARNATAKA,NELAMANGALA,DR. K .SREENIVASAMURTHY,JANATA DAL (SECULAR),69277
KARNATAKA,NELAMANGALA,R NARAYANASWAMY,INDIAN NATIONAL CONGRESS,44956
KARNATAKA,NELAMANGALA,M V NAGARAJU,BHARATIYA JANATA PARTY,42689
KARNATAKA,NELAMANGALA,B. RAMAIAH,JANATA DAL (UNITED),932
KARNATAKA,NELAMANGALA,N K LOKESHA,SAMANYA JANATHA PARTY (LOKTANTRIK),514
KARNATAKA,NELAMANGALA,D H MANJULAMANI,INDEPENDENT,510
KARNATAKA,NELAMANGALA,SURESH RATHOD,INDEPENDENT,352
KARNATAKA,NELAMANGALA,DINESH KUMAR,INDEPENDENT,300
KARNATAKA,NELAMANGALA,G SHIVAKUMARI,ALL INDIA MAHILA EMPOWERMENT PARTY,290
KARNATAKA,NELAMANGALA,S. LEPAKSHA,LOK AWAZ DAL,248
KARNATAKA,NELAMANGALA,DR SHIVARAJA,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,216
KARNATAKA,NELAMANGALA,NONE OF THE ABOVE,NONE OF THE ABOVE,1151
KARNATAKA,DODDABALLAPUR,T VENKATARAMANAIAH,INDIAN NATIONAL CONGRESS,73225
KARNATAKA,DODDABALLAPUR,B MUNEGOWDA,JANATA DAL (SECULAR),63280
KARNATAKA,DODDABALLAPUR,J NARASIMHASWAMY,BHARATIYA JANATA PARTY,27612
KARNATAKA,DODDABALLAPUR,DR.K.N.VENKATESH,INDEPENDENT,1018
KARNATAKA,DODDABALLAPUR,GOWRAMMA,REPUBLICAN SENA,668
KARNATAKA,DODDABALLAPUR,M SRINIVAS,INDEPENDENT,592
KARNATAKA,DODDABALLAPUR,M JAYALAKSHMI,ALL INDIA JANARAKSHA PARTY,286
KARNATAKA,DODDABALLAPUR,MUNEGOWDA,INDEPENDENT,194
KARNATAKA,DODDABALLAPUR,Y VENKATARAMANAPPA,INDEPENDENT,181
KARNATAKA,DODDABALLAPUR,MALLESH M,FEDERAL CONGRESS OF INDIA,156
KARNATAKA,DODDABALLAPUR,M MANJUNATH,ALL INDIA MAHILA EMPOWERMENT PARTY,143
KARNATAKA,DODDABALLAPUR,S PURUSHOTHAM,JANATA DAL (UNITED),132
KARNATAKA,DODDABALLAPUR,T.M.VENKATARAMANAIAH,KARNATAKA PRAGNYAVANTHA JANATHA PARTY,129
KARNATAKA,DODDABALLAPUR,IBRAHIM SHARIFF TUBHAGERE SHARIFF,INDEPENDENT,125
KARNATAKA,DODDABALLAPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1016
KARNATAKA,DEVANAHALLI,NARAYANASWAMY L N,JANATA DAL (SECULAR),86966
KARNATAKA,DEVANAHALLI,VENKATASWAMY,INDIAN NATIONAL CONGRESS,69956
KARNATAKA,DEVANAHALLI,K NAGESH,BHARATIYA JANATA PARTY,9820
KARNATAKA,DEVANAHALLI,SRINIVAS M SANNIDHI,INDEPENDENT,821
KARNATAKA,DEVANAHALLI,INDIRAMMA B V,REPUBLICAN PARTY OF INDIA,625
KARNATAKA,DEVANAHALLI,B RAMACHANDRA,INDEPENDENT,457
KARNATAKA,DEVANAHALLI,NAGARAJA,AMBEDKARITE PARTY OF INDIA,311
KARNATAKA,DEVANAHALLI,D.R.NARAYANASWAMY,INDEPENDENT,280
KARNATAKA,DEVANAHALLI,MYATHYU MUNIYAPPA S M,INDEPENDENT,247
KARNATAKA,DEVANAHALLI,K RAMACHANDRAPPA,ALL INDIA MAHILA EMPOWERMENT PARTY,194
KARNATAKA,DEVANAHALLI,NAGARAJU M,REPUBLICAN SENA,181
KARNATAKA,DEVANAHALLI,NONE OF THE ABOVE,NONE OF THE ABOVE,1300
KARNATAKA,HOSAKOTE,N NAGARAJU (M.T.B),INDIAN NATIONAL CONGRESS,98824
KARNATAKA,HOSAKOTE,SHARATH KUMAR BACHEGOWDA,BHARATIYA JANATA PARTY,91227
KARNATAKA,HOSAKOTE,KRISHNA MURTHY R,JANATA DAL (SECULAR),1083
KARNATAKA,HOSAKOTE,RAMESHA,AMBEDKAR SAMAJ PARTY,417
KARNATAKA,HOSAKOTE,V SHAMANNA,INDEPENDENT,242
KARNATAKA,HOSAKOTE,SURESHA C,INDEPENDENT,184
KARNATAKA,HOSAKOTE,G SHRINIVASA,ALL INDIA MAHILA EMPOWERMENT PARTY,142
KARNATAKA,HOSAKOTE,RAJESH T K,INDEPENDENT,120
KARNATAKA,HOSAKOTE,RAVEESHA T,INDEPENDENT,67
KARNATAKA,HOSAKOTE,B V MANJUNATHA,INDEPENDENT,66
KARNATAKA,HOSAKOTE,MANJUNATHA GOWDA T V,INDEPENDENT,61
KARNATAKA,HOSAKOTE,NAGARAJ D.C.N,INDEPENDENT,52
KARNATAKA,HOSAKOTE,NAGARAJ V,INDEPENDENT,47
KARNATAKA,HOSAKOTE,NONE OF THE ABOVE,NONE OF THE ABOVE,539
KARNATAKA,ANEKAL,B.SHIVANNA,INDIAN NATIONAL CONGRESS,113894
KARNATAKA,ANEKAL,A.NARAYANASWAMY,BHARATIYA JANATA PARTY,105267
KARNATAKA,ANEKAL,G. SRINIVAS,BAHUJAN SAMAJ PARTY,2932
KARNATAKA,ANEKAL,D.MAHADESH,COMMUNIST PARTY OF INDIA (MARXIST),1425
KARNATAKA,ANEKAL,MUNIKRISHNAPPA,ALL INDIA MAHILA EMPOWERMENT PARTY,481
KARNATAKA,ANEKAL,C.NARAYANASWAMY,INDEPENDENT,436
KARNATAKA,ANEKAL,MANJUNATH V,INDEPENDENT,247
KARNATAKA,ANEKAL,A.NARAYANASWAMY,INDEPENDENT,229
KARNATAKA,ANEKAL,M.MUNIYALLAMMA,REPUBLICAN SENA,216
KARNATAKA,ANEKAL,VENKATESHAPPA,SARVA JANATA PARTY,178
KARNATAKA,ANEKAL,Y.RAVINDRA,BHARATIYA PRAJA PAKSHA,132
KARNATAKA,ANEKAL,AMARESH.Y,INDEPENDENT,125
KARNATAKA,ANEKAL,NONE OF THE ABOVE,NONE OF THE ABOVE,2115
KARNATAKA,BANGALORE SOUTH,M KRISHNAPPA,BHARATIYA JANATA PARTY,152469
KARNATAKA,BANGALORE SOUTH,R K RAMESH,INDIAN NATIONAL CONGRESS,122052
KARNATAKA,BANGALORE SOUTH,R PRABHAKAR REDDY,JANATA DAL (SECULAR),36164
KARNATAKA,BANGALORE SOUTH,K ABHISHEK,AARAKSHAN VIRODHI PARTY,823
KARNATAKA,BANGALORE SOUTH,D K SHIVASHANKAR,INDEPENDENT,735
KARNATAKA,BANGALORE SOUTH,SREENIVASU,INDEPENDENT,644
KARNATAKA,BANGALORE SOUTH,ANBU,INDEPENDENT,479
KARNATAKA,BANGALORE SOUTH,SIRAJUDDIN,ALL INDIA MAHILA EMPOWERMENT PARTY,415
KARNATAKA,BANGALORE SOUTH,M KRISHANAPPA,INDEPENDENT,377
KARNATAKA,BANGALORE SOUTH,CHAND BHASHA,REPUBLICAN SENA,346
KARNATAKA,BANGALORE SOUTH,R RAJESH,INDEPENDENT,343
KARNATAKA,BANGALORE SOUTH,MANJUNATH K H,INDEPENDENT,274
KARNATAKA,BANGALORE SOUTH,V CHETHAN,KANNADA PAKSHA,207
KARNATAKA,BANGALORE SOUTH,APPAJI GOWDA,INDEPENDENT,191
KARNATAKA,BANGALORE SOUTH,NONE OF THE ABOVE,NONE OF THE ABOVE,15829
KARNATAKA,BOMMANAHALLI,SATHISH REDDY M,BHARATIYA JANATA PARTY,111863
KARNATAKA,BOMMANAHALLI,SUSHMA RAJAGOPALA REDDY,INDIAN NATIONAL CONGRESS,64701
KARNATAKA,BOMMANAHALLI,T R PRASAD,JANATA DAL (SECULAR),9379
KARNATAKA,BOMMANAHALLI,SOMASHEKAR.N,PRAJA PARIVARTAN PARTY,2142
KARNATAKA,BOMMANAHALLI,DR.P.ANILKUMAR,INDEPENDENT,1143
KARNATAKA,BOMMANAHALLI,SUSHMA RAMESH,INDEPENDENT,576
KARNATAKA,BOMMANAHALLI,SUSHMA SANDEEP,INDEPENDENT,460
KARNATAKA,BOMMANAHALLI,SADARULLA,INDEPENDENT,352
KARNATAKA,BOMMANAHALLI,SYED ISMAIL,INDEPENDENT,347
KARNATAKA,BOMMANAHALLI,SHEEBA C P,INDEPENDENT,335
KARNATAKA,BOMMANAHALLI,MADHUSUDAN REDDY,JAI BHARATH JENA SENA PARTY,320
KARNATAKA,BOMMANAHALLI,V MADESHA,INDEPENDENT,271
KARNATAKA,BOMMANAHALLI,KUPENDRA,INDEPENDENT,243
KARNATAKA,BOMMANAHALLI,ABDUL KADIR GSY,INDEPENDENT,224
KARNATAKA,BOMMANAHALLI,SHAIK IMRAN,ALL INDIA MAHILA EMPOWERMENT PARTY,161
KARNATAKA,BOMMANAHALLI,G VENKATESH BHOVI,SHIVSENA,150
KARNATAKA,BOMMANAHALLI,RATHNAMMA,RASHTRIYA MANAV VIKAS PARTY,146
KARNATAKA,BOMMANAHALLI,PAVITHRA GUNDEGOWDA,INDEPENDENT,120
KARNATAKA,BOMMANAHALLI,DILIP KUMAR,INDEPENDENT,86
KARNATAKA,BOMMANAHALLI,NONE OF THE ABOVE,NONE OF THE ABOVE,2491
KARNATAKA,MAHADEVAPURA,ARAVIND LIMBAVALI,BHARATIYA JANATA PARTY,141682
KARNATAKA,MAHADEVAPURA,A C SRINIVASA,INDIAN NATIONAL CONGRESS,123898
KARNATAKA,MAHADEVAPURA,SATHISH K,JANATA DAL (SECULAR),6391
KARNATAKA,MAHADEVAPURA,NAGESH T,INDEPENDENT,3852
KARNATAKA,MAHADEVAPURA,B R BHASKAR PRASAD,AAM AADMI PARTY,1336
KARNATAKA,MAHADEVAPURA,P RAMESH CHANDER,SWARAJ INDIA,1184
KARNATAKA,MAHADEVAPURA,V SRINIVASA,INDEPENDENT,473
KARNATAKA,MAHADEVAPURA,V UMA,KARNATAKA JANTHA PAKSHA,370
KARNATAKA,MAHADEVAPURA,SRINIVASA,INDEPENDENT,290
KARNATAKA,MAHADEVAPURA,NANDAKUMAR R,ALL INDIA MAHILA EMPOWERMENT PARTY,282
KARNATAKA,MAHADEVAPURA,A LAKSHMAIAH,INDEPENDENT,278
KARNATAKA,MAHADEVAPURA,J UDAY KUMAR,INDEPENDENT,250
