Candidate,Party,Votes
K S PRAKASH,Bharatiya Janata Party,62232
Y S V DATTA,Janata Dal (Secular),46860
K S ANAND,Indian National Congress,46142
NAGARAJ N T,Karnataka Pragnyavantha Janatha Party,698
C M RUDRESH,Independent,546
H PRADEEP,Independent,478
THIMMEGOWDA H G,Independent,404
LATHA H K,All India Mahila Empowerment Party,337
NAGARAJA K H,Independent,302
SHYLA MOHAN,Samanya Janatha Party (Loktantrik),222
G YARADAKERE Y N KANTHARAJU,Independent,197
K R GANGADHARAPPA,Independent,195
None of the Above,None of the Above,1075
