Candidate,Party,Votes
SIDDARAMAIAH,Indian National Congress,67599
B SREERAMULU,Bharatiya Janata Party,65903
HANAMANT MAVINAMARAD,Janata Dal (Secular),24484
SOMASHEKHAR BASAPPA BARAGUNDI,Independent,1235
SHANKRAPPA GOUDAR,Independent,806
DONGRISAB LALSAB NADAF,Indian New Congress Party,663
RAVI KULKARNI,Rani Chennamma Party,348
PUTTAIAH T,Independent,258
TULASAPPA DASAR,Independent,166
GIRISH ANKALAGI,Independent,145
NILESH IRAPPA BANNUR,Jana Samanyara Party (Karnataka),120
DAYANAND KULAKARNI,Independent,109
SIDDAPPA GODI,Independent,82
None of the Above,None of the Above,2007
