Candidate,Party,Votes
ARAVIND LIMBAVALI,Bharatiya Janata Party,141682
A C SRINIVASA,Indian National Congress,123898
SATHISH K,Janata Dal (Secular),6391
NAGESH T,Independent,3852
B R BHASKAR PRASAD,Aam Aadmi Party,1336
P RAMESH CHANDER,Swaraj India,1184
V SRINIVASA,Independent,473
V UMA,Karnataka Jantha Paksha,370
SRINIVASA,Independent,290
NANDAKUMAR R,All India Mahila Empowerment Party,282
A LAKSHMAIAH,Independent,278
J UDAY KUMAR,Independent,250
DR. H R SURENDRA,Republican Party of India (A),248
S M KRISHNA,Bharatiya Praja Paksha,169
K KRISHNA,Republican Sena,167
None of the Above,None of the Above,3482
