Candidate,Party,Votes
B.Z. ZAMEER AHMED KHAN,Indian National Congress,65339
M LAKSHMINARAYANA,Bharatiya Janata Party,32202
B K ALTAF KHAN,Janata Dal (Secular),19393
SRINIVAS B V,Independent,418
TABARAK SHARIFF,Independent,304
K. MANI,Independent,276
NARASIMHAIAH P S,Ambedkar Samaj Party,213
SUBBARAYUDU,Independent,193
IRFAN AHMED,Independent,179
S. RUKMANGAD,Shivsena,153
S.N. HARISH NARAYAN GANDHI,Bhaarateeya Janashakthi Congress,122
ASGAR A MOHIN S M,Independent,108
PRAMILA,Namma Congress,90
N PADMANABHA,Samanya Janatha Party (Loktantrik),77
YOGESH.J.PATEL,Kannada Paksha,75
SYED ASLAM,All India Mahila Empowerment Party,74
AMEER AHMED KHAN,Independent,60
ABDULLA,Independent,56
SYED KHADEER,Independent,56
AMJAD KHAN,Independent,53
SAMPANGI RAAJ,Independent,42
None of the Above,None of the Above,726
