Candidate,Party,Votes
RAMALINGA REDDY,Indian National Congress,67085
LALLESH REDDY,Bharatiya Janata Party,46607
K DEVADAS,Janata Dal (Secular),17307
DR. SYED ASAD ABBAS (M C ABBAS),Aam Aadmi Party,701
N KRISHNOJI RAO,Bhaarateeya Janashakthi Congress,497
SATISH BABU S N,Independent,333
KUMARI. JAYALAKSHMI B V,All India Mahila Empowerment Party,262
SEEMA KOWSER,Karnataka Pragnyavantha Janatha Party,194
SHABRIN,Independent,181
PRADEEP MENDONCA,Independent,107
YASHWANT NAIK,Independent,103
BRAHMANANDA N,Independent,102
M MUNESHWARA,Republican Sena,88
None of the Above,None of the Above,2365
