Candidate,Party,Votes
MAHADEVAPPA SHIVALINGAPPA YADAWAD,Bharatiya Janata Party,68349
ASHOK MAHADEVAPPA PATTAN,Indian National Congress,65474
PANCHAKATTIMATH RAMESH CHANDRAYY,Independent,8427
JAVEEDSAB. M,Janata Dal (Secular),2266
GAIBU JAINEKHAN,Communist Party of India (Marxist),1516
ANGADI SIDDAPPA MARITHAMMAPPA,Indian New Congress Party,925
MUKAPPA MUTHTHARI,Independent,637
SUDHIRA FAKIRAPPA SIDDANKOLLA,Independent,599
GHODAKE SUBHASHCHANDRA ASHOK,All India Mahila Empowerment Party,567
LAKKANNAVAR MANINGAPPA FAKIRAPPA,Independent,324
GADARAJ MARUTI BELUR,Independent,289
BHARATI SANGAMESH CHIKKANARAGUND,Independent,251
None of the Above,None of the Above,1704
