Candidate,Party,Votes
N NAGARAJU (M.T.B),Indian National Congress,98824
SHARATH KUMAR BACHEGOWDA,Bharatiya Janata Party,91227
KRISHNA MURTHY R,Janata Dal (Secular),1083
RAMESHA,Ambedkar Samaj Party,417
V SHAMANNA,Independent,242
SURESHA C,Independent,184
G SHRINIVASA,All India Mahila Empowerment Party,142
RAJESH T K,Independent,120
RAVEESHA T,Independent,67
B V MANJUNATHA,Independent,66
MANJUNATHA GOWDA T V,Independent,61
NAGARAJ D.C.N,Independent,52
NAGARAJ V,Independent,47
None of the Above,None of the Above,539
