Candidate,Party,Votes
YASHVANTHARAYGOUDA VITTALAGOUDA PATIL,Indian National Congress,50401
B D PATIL (HANJAGI),Janata Dal (Secular),40463
DAYASAGAR BAPURAYA PATIL,Bharatiya Janata Party,38941
RAVIKANTH SHANKREPPA PATIL,Independent,31425
SADASHIVA GIRIMALLA BIRADAR,Independent,2196
VENKATESHWAR MAHASWAMIJI (KATAKADHOND),Hindustan Janta Party,941
LAXMIBAI DODDAPPA TADLAGI,All India Mahila Empowerment Party,656
CHANDRASHEKHAR BASAPPA HOSAMANI,Independent,488
GOLLALALINGANAGOUDA PEERAPPAGOUDA JYOTIGOND,Independent,461
ABUJAR KASHIMSAB THAMATAGER,Independent,352
M M BAGAWAN,Independent,317
CHANNAPPA SIDDAPPA BHOSAGI,Independent,226
None of the Above,None of the Above,1244
