Candidate,Party,Votes
BASAVANAGOUDA PATIL,Indian National Congress,72461
UJANESHWARA BANAKAR,Bharatiya Janata Party,71906
SIDDAPPA GUDADAPPANAVAR,Janata Dal (Secular),3597
RAJASHEKHAR DUDIHALLI,Independent,555
MAHADEVAPPA MALAMMANAVAR,All India Mahila Empowerment Party,317
PARAMESHAPPA KAGINELLI,Independent,312
MANJUNATH MANOHAR SANU,Independent,193
VEERABHADRAPPA KUMBAR,Karnataka Pragnyavantha Janatha Party,132
VINAY PATIL,Jana Samanyara Party (Karnataka),110
HARISH INGALAGONDI,Karnataka Jantha Paksha,91
None of the Above,None of the Above,972
