Candidate,Party,Votes
MALLANAGOUD BASANAGOUD PATIL,Indian National Congress,98339
VIJAYAKUMAR SIDRAMGOUDA PATIL,Bharatiya Janata Party,68624
SAMBHAJI KRISHNA GAYAKAWAD,Independent,925
BHAVARAMMA SHIVANAND JANAWAD,All India Mahila Empowerment Party,778
SANGAYYA SHARANAYYA MARIMATH,Independent,308
SANGAPPA GURAPPA INDI,Independent,218
MANJULA KISHAN CHAVAN,Jana Samanyara Party (Karnataka),161
SANGAYYA SHANKARAYYA HIREMATH,Shivsena,153
MAHADEVI DHARMAPPA NATIKAR,Independent,110
SUNIL GORAKHANATH KATAKAR,Independent,85
LAKSMIBAYI SHIVAPPA GUDDI,Independent,81
RAVI SHIVAPPA PADASALAGI,Independent,77
None of the Above,None of the Above,1786
