Candidate,Party,Votes
DR.H.D. RANGANATH,Indian National Congress,58697
D KRISHNA KUMAR,Bharatiya Janata Party,53097
D. NAGARAJAIAH,Janata Dal (Secular),44476
ANAND PATEL HULIKATTE,Karnataka Rajya Ryota Sangha,2869
H B SHIVALINGAIAH,Independent,527
H.A JAYARAMAIAH,Independent,485
BHAGYALAKSHMI E,Independent,343
HERUR DHANARAJ,Republican Party of India (A),240
B.T. THIRUMALEGOWDA,Independent,222
LAKSHMINARAYANA GOWDA,Samajwadi Party,137
None of the Above,None of the Above,830
