Candidate,Party,Votes
K. GOPALAIAH,Janata Dal (Secular),88218
N.L. NARENDRA BABU,Bharatiya Janata Party,47118
MANJUNATHA H.S,Indian National Congress,20496
RAJA. A,Independent,497
N. GIRISH GOWDA,Nationalist Congress Party,482
PADMA. H,Janata Dal (United),260
ASWATHA,Rashtriya Manav Vikas Party,219
GOVINDARAJU T,All India Mahila Empowerment Party,217
M. SHAKUNTHALA,All India Janaraksha Party,207
MANOHAR H. AYYANNAVAR,Independent,171
V. PASANNA KUMAR,Independent,133
SUNIL KUMAR. V,Kannada Paksha,123
None of the Above,None of the Above,1739
