Candidate,Party,Votes
SIDDU SAVADI,Bharatiya Janata Party,87213
UMASHREE,Indian National Congress,66324
BASAPPA K KONNUR,Janata Dal (Secular),12435
GANGAPPA SHRISHAILAPPA METI,Karnataka Rajya Ryota Sangha,1262
R. VEERESH PRASAD (VEERESH NEKAR),Namma Congress,1091
KALLAPPA RAMAPPA PICHELI,Independent,711
BASAVARAJ BHIMAPPA GAYAKWAD,Shivsena,357
JAVED INAMDAR,All India Mahila Empowerment Party,319
MOHAMMAD RAFIQBADASHA DOU,Bahujan Mukti Party,298
PRABHAKAR CHALWADI,Praja Parivartan Party,281
POOJA MALLAPPA BEVOOR,Bhaarateeya Janashakthi Congress,279
M M NADAF,Indian New Congress Party,264
MALAKAPPA KALLAPPA SAPTSAGR,Janahitha Paksha,194
None of the Above,None of the Above,2012
