Candidate,Party,Votes
A. MANJUNATH,Janata Dal (Secular),119492
H.C. BALAKRISHNA,Indian National Congress,68067
M.C.HANUMANTHARAJ,Bharatiya Janata Party,4410
MURALI.B,Independent,600
D.M.MADEGOWDA,All India Mahila Empowerment Party,223
PRASHANT.M,Independent,217
NAVEENKUMAR,Independent,112
D.SHIVAKUMAR,Samajwadi Party,94
M.G.JAYANANDA SWAMY,Independent,91
NARASIMHAMURTHY.H,Independent,73
None of the Above,None of the Above,839
