Candidate,Party,Votes
SUNIL BILIYA NAIK,Bharatiya Janata Party,83172
MANKAL VAIDYA,Indian National Congress,77242
GAPHUR SAB,All India Mahila Empowerment Party,1446
RAJESH NAIK,Independent,944
ABDUL RAHIMAN,Independent,569
PRAKASH PINTO,Independent,527
None of the Above,None of the Above,1986
