Candidate,Party,Votes
K.SRINIVASA GOWDA,Janata Dal (Secular),82788
SYED ZAMEER PASHA,Indian National Congress,38537
R VARTHUR PRAKASH,Namma Congress,35544
R.VENKATACHALAPATHI (OM SHAKTHI CHALAPATHI),Bharatiya Janata Party,12458
GOWRAMMA,Independent,2085
SRINIVASA,Independent,1266
SRINIVAS GOWDA,Independent,559
K.SRINIVASA GOWDA,Independent,530
A.ANANDA KUMAR,Rashtriya Manav Vikas Party,516
N.PRAKASHA,Independent,460
DR. M. VENKATA SWAMY,Republican Party of India (A),435
M.RAVI,Independent,409
KADAHALLI .R.SHASHIKUMAR,Independent,372
AMJAD PASHA.N.,Independent,371
MANJULA,Independent,323
TANVEER AHMED,All India Mahila Empowerment Party,311
SREERAMA,Independent,293
K.R.S. SUDHAKAR GOWDA.R,Janata Dal (United),202
PRAKASH,Independent,176
AMJAD PASHA,Independent,146
B.ANANDA REDDY,Independent,126
None of the Above,None of the Above,1195
