Candidate,Party,Votes
H D REVANNA,Janata Dal (Secular),108541
MANJEGOWDA B P,Indian National Congress,64709
M N RAJU,Bharatiya Janata Party,3667
B K NAGARAJA,Republican Sena,964
B N MANJE GOWDA,Independent,606
H D REVANNA,Independent,438
M MAHESH URF HARSHA,Independent,298
MOHAMMED HANEEF,All India Mahila Empowerment Party,289
None of the Above,None of the Above,984
