Candidate,Party,Votes
SHIVANAND PATIL,Indian National Congress,58647
SOMANAGOUDA(APPUGOUDA) B PATIL(MANAGULI),Janata Dal (Secular),55461
SANGARAJ DESAI,Bharatiya Janata Party,25501
YALLAPPA BASAPPA GUNDAKARAJAGI,Independent,3008
LAXIMBAI W/O SHIVANAND G PATIL,Independent,1252
ALUR NINGANNA MALLAPPA,Jana Samanyara Party (Karnataka),904
BHAGYASHREE SHIVANAND PATIL,Independent,492
KENGANAL MALLIKARJUN BHIMAPPA,Swaraj India,455
None of the Above,None of the Above,1684
