Candidate,Party,Votes
PARANNA ESHWARAPPA MUNAVALLI,Bharatiya Janata Party,67617
IQBAL ANSARI,Indian National Congress,59644
KARIYANNA SANGATI,Janata Dal (Secular),14161
G NAGARAJ,Communist Party of India (Marxist),1045
BHARADWAJ,Communist Party of India (Marxist-Leninist) (Liberation),758
TALURI PRASAD,Independent,578
ALAM M.N,Independent,500
SHARANAPPA SAJJIHOLA,Aam Aadmi Party,407
JOGIN RAMESH NAYAK,Independent,359
FATHIMA RAJABAKSHI,Independent,282
DIGAMBARRAO ANANTHRAO AMBA,Independent,161
SY JARINA SY MUKARAMRAZA,Independent,146
None of the Above,None of the Above,1615
