Candidate,Party,Votes
H K KUMARASWAMY,Janata Dal (Secular),62262
SOMASHEKAR JAYARAJ,Bharatiya Janata Party,57320
SIDDAIAH,Indian National Congress,37002
K R PRADEEP KUMAR,All India Mahila Empowerment Party,1148
VEERESHA,Independent,576
M CHINNAMALLAIAH,Independent,572
KUMARASWAMY,Independent,531
None of the Above,None of the Above,1597
