Candidate,Party,Votes
N.H.SHIVASHANKARA REDDY,Indian National Congress,69000
C.R.NARASIMHAMURTHY,Janata Dal (Secular),59832
K.JAIPAL REDDY,Bharatiya Janata Party,34759
N.R.RAVICHANDRAREDDY,Communist Party of India (Marxist),1095
ANANTHA.G. (P.T.MASTER),Republican Party of India (A),731
V.C.SACHIDANANDAMURTHY,Bhaarateeya Janashakthi Congress,600
N.HANUMANTHANAYAKA,Independent,453
G.R.MOHAN KUMAR,Independent,325
YOGEESHA. H.V.,All India Mahila Empowerment Party,314
G.N.RAVI,Independent,234
D.PALYA. KHADAR SUBHAN KHAN,Samajwadi Party,192
AMJAD KHAN (NADIM),Independent,190
DEVAKI. B.A.,Pyramid Party of India,161
None of the Above,None of the Above,784
