Candidate,Party,Votes
R NARENDRA,Indian National Congress,60444
DR. PREETHAN NAGAPPA,Bharatiya Janata Party,56931
MANJUNATH M R,Janata Dal (Secular),44957
SIDDAPPA R,Independent,873
SELVARAJ. S,Independent,758
JOHN DON BOSCO K,Independent,755
JAYAPRAKASH J,Independent,701
S GANGADHAR (EX-SERVICEMAN),Lok Awaz Dal,572
D SRIKANTASWAMY,Swaraj India,562
R P VISHNUKUMAR,All India Anna Dravida Munnetra Kazhagam,503
R MAHESHA,Independent,502
PRADEEP KUMAR M,All India Mahila Empowerment Party,479
MAHESHA,Independent,352
B BHANUPRAKASH,Karnataka Pragnyavantha Janatha Party,326
GNANAPRAKASH.J,Independent,245
None of the Above,None of the Above,1373
