Candidate,Party,Votes
SHIVANA GOUDA NAYAK,Bharatiya Janata Party,67003
A RAJASHEKAR NAYAK,Indian National Congress,45958
KAREMMA,Independent,25226
ARKERA VENKATESH PUJARI,Janata Dal (Secular),7137
MAMITHA SIDDAYYATATA GURUVINA,Independent,6391
SHIVARAJ DORE,All India Mahila Empowerment Party,2179
NARASANNAGOUDA HOSAMANI,Independent,1543
None of the Above,None of the Above,1932
