Candidate,Party,Votes
V. MUNIYAPPA,Indian National Congress,76240
B.N. RAVIKUMAR,Janata Dal (Secular),66531
ANJINAPPA (PUTTU),Independent,10986
M .RAJANNA,Independent,8593
SURESH.H.,Bharatiya Janata Party,3596
B.S.MOULA JAAN,Ambedkar National Congress,1081
S.N. RAVIKUMAR,Independent,752
VENKATESHAPPA,Republican Sena,290
M. NARAYANASWAMY,Jai Bharath Jena Sena Party,282
WISDOM NAGARAJ,Independent,220
K.V. YAMEGOWDA,All India Mahila Empowerment Party,207
MOHAMMED ISMAIL,Samajwadi Party,202
R. MOHAN,Independent,159
Y.N. GANGADHARA,Independent,125
BYAREGOWDA VENKATASHAMI,Independent,100
None of the Above,None of the Above,958
