Candidate,Party,Votes
G H THIPPAREDDY,Bharatiya Janata Party,82896
K.C.VEERENDRA (PAPPY),Janata Dal (Secular),49911
H.A. SHANMUKHAPPA (HANUMALI),Indian National Congress,49014
N.SURESH,Independent,1287
V.S.BHUTHARAJA,Independent,994
M.T.CHANDRANNA,Independent,789
JAGADEESH,Samanya Janatha Party (Loktantrik),610
P.S.PUTTASWAMY (SWAMY),Independent,466
DR. DODDAMALLAIAH,Swaraj India,350
B.E.SHYAM SUNDAR KULAKARNI,Bhaarateeya Janashakthi Congress,328
GANESH,Independent,262
M.KIRAN,Independent,218
SYED ISMAIL,All India Mahila Empowerment Party,184
G.S. NAGARAJA,Karnataka Swabhimani Raithara Karmikara Party,183
K.S.SARASWATHI,Samajwadi Party,154
RAJA MADAKARI NAYAKA,Kannada Paksha,153
H.M.HANUMAPPA,Karnataka Jantha Paksha,132
None of the Above,None of the Above,1427
