Candidate,Party,Votes
CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL,Bharatiya Janata Party,73045
BASAVARADDI RANGARADDI YAVAGAL,Indian National Congress,65066
GIRIMALLANAGOUDA ISHWARAGOUDA PATIL,Janata Dal (Secular),2456
DANAPPAGOUDA BHEEMANAGOUDA DANAPPAGOUDAR,Shivsena,903
HASHIMALI SAIYADSAB KHAJI,Indian New Congress Party,685
SHAKUNTALA YAMANAPPA KONDABENGI,Independent,673
SURESH MAHARUDRAPPA MUNDARAGI,Bharatiya Rashtriya Mahila Sarvodaya Congress,303
MUTTU SABANNA SURAKOD,Jana Samanyara Party (Karnataka),291
None of the Above,None of the Above,1173
