Candidate,Party,Votes
ROOPAKALA.M,Indian National Congress,71151
ASHWINI SAMPANGI,Bharatiya Janata Party,30324
S.RAJENDRAN,Republican Party of India,20393
M.BACKTHAVACHALAM,Janata Dal (Secular),8976
THANGARAJ.P,Communist Party of India (Marxist),1746
V.MUNISWAMY,Karnataka Pragnyavantha Janatha Party,1259
ANBU.M,All India Anna Dravida Munnetra Kazhagam,1024
V.RAJAPPA,All India Mahila Empowerment Party,702
VENKATESH BABU R,Independent,546
C.N.ARUN PRASAD,Namma Congress,416
S.SIVALINGAM,Bharatiya Republican Paksha,320
KULASEGAR.M,Independent,240
S.MUNIYAPPA,Independent,233
G.LALITHA,Independent,230
MURUGESH.C,Republican Sena,134
J.D.ELANGOVAN,Independent,125
None of the Above,None of the Above,1750
