Candidate,Party,Votes
BANDEPPA,Janata Dal (Secular),55107
DR SHAILENDRA BELDALE,Bharatiya Janata Party,42365
ASHOK KHENY,Indian National Congress,35131
NAZEER AHMED,Welfare Party Of India,968
MOHAMMED AZMATH,All India Mahila Empowerment Party,792
SYED RAHAMATHULLA HUSSAINI,Independent,779
A SALEEM,Bharatiya Praja Paksha,690
SYED RAFIULLA,Independent,555
SHIVRAJ,Independent,381
ABRAHAM T J,Independent,345
RAVINDARKUMAR,Independent,312
NARSAPPA,Independent,265
RAJKUMAR,Pyramid Party of India,240
None of the Above,None of the Above,957
