Candidate,Party,Votes
DR. ANJALI HEMANT NIMBALKAR,Indian National Congress,36649
VITHAL HALAGEKAR,Bharatiya Janata Party,31516
BAGWAN NASIR PAPULSAB,Janata Dal (Secular),27272
ARVIND CHANDRAKANT PATIL,Independent,26613
VILAS KRISHNA BELGAONKAR,Independent,17851
JOTHIBA PRALHAD REMANI,Independent,5898
KRISHNAJI PUNDALIK PATIL,Independent,2153
YASHAVANTH THIMANNA NIPPANIKAR,Indian New Congress Party,1326
SHRIKANT HANMANT BHAJANTRI,Independent,1171
DESAI MEGHANA CHANDRAKANT,All India Mahila Empowerment Party,843
LAXMAN YALLAPPA BANNAR,Independent,798
MAHADEV YALLAPPA SHINDOLKAR,Independent,568
None of the Above,None of the Above,1561
