Candidate,Party,Votes
K.J GEORGE,Indian National Congress,109955
M.N.REDDY,Bharatiya Janata Party,56651
ANWAR SHARIEFF,Janata Dal (Secular),4926
PRITHVI REDDY,Aam Aadmi Party,1861
N.D.SOLOMON RAJU,Independent,578
IRSHAD AHMED KHAN,Karnataka Pragnyavantha Janatha Party,323
RADHA KRISHNA.T,Independent,279
DAWN BEENA.S,Samanya Janatha Party (Loktantrik),214
KEMPURAJAN,Republican Sena,196
MOHAN.H,Independent,179
S.SYED HIDAYATHULLA,All India Mahila Empowerment Party,171
MODI SAIFULLA,Independent,148
SHABBIR SHARIFF,Dr. Ambedkar People's Party,106
DR.MEER LAYAQ HUSSAIN,Independent,99
None of the Above,None of the Above,2405
