Candidate,Party,Votes
BASANAGOUD .R. PATIL (YATNAL),Bharatiya Janata Party,76308
ABDUL HAMEED MUSHRIF,Indian National Congress,69895
BELLUBBI SANGAPPA KALLAPPA,Janata Dal (Secular),2083
PEERPASHA SHAMSUDDIN GACHIMAL,Nationalist Congress Party,449
DONDIBA RAMU RATHOD,Independent,409
MAHESH MAHADEV JADHAV,Shivsena,296
RAKESH SIDDARAM TELI,Bhaarateeya Janashakthi Congress,287
APPU KALABURGI,Independent,262
KADECHUR KALLAPPA REVANSIDDAPPA,Independent,184
IRAPPA BASAPPA KUMBAR,Independent,131
None of the Above,None of the Above,1399
