Candidate,Party,Votes
K. MAHADEVA,Janata Dal (Secular),77770
K. VENKATESH,Indian National Congress,70277
MANJUNATHA S,Bharatiya Janata Party,4047
GIRISH,Jana Samanyara Party (Karnataka),852
SRINIVAS P,Independent,387
N S ANNEGOWDA,Independent,385
SUMITHRA H K,All India Mahila Empowerment Party,248
MAHADEVA SWAMY,Janata Dal (United),206
DEVARAJ H B,Bharatiya Republican Paksha,192
MAHADEVA,Republican Sena,174
None of the Above,None of the Above,1178
