Candidate,Party,Votes
KRISHNA BYREGOWDA,Indian National Congress,114964
A RAVI,Bharatiya Janata Party,109293
CHANDRA T G,Janata Dal (Secular),22490
M RAMESH,Independent,860
K RAMESH,Independent,688
EZAZ PASHA,Ambedkar National Congress,556
RAVI PADASALAGI,Independent,554
D RAVIKUMAR,Independent,339
SHAIK WASIM AHMED,Bhaarateeya Janashakthi Congress,304
JEELANI FATHIMA,All India Mahila Empowerment Party,290
BASAVARAJ MADIVALAR,Independent,236
J MAHENDRANATHAN,Independent,206
NARENDRA KUMAR,Independent,172
SHESHAGIRI K,Republican Sena,136
RAMESHA R,Rashtriya Manav Vikas Party,111
T S PRATHAP KUMAR,Independent,102
NAZIR AHMED,Independent,98
SAYED SUHEL BASHA,Dr. Ambedkar People's Party,80
ABDUL KHADEER,Independent,76
None of the Above,None of the Above,2154
