Candidate,Party,Votes
G.T.DEVEGOWDA,Janata Dal (Secular),121325
SIDDARAMAIAH,Indian National Congress,85283
S.R.GOPALRAO,Bharatiya Janata Party,12064
P.KARIGOWDA,Independent,1665
SHANTHARAJU,Independent,826
P.SURESHNAYAKA,Independent,779
M.S.PRAVEEN,Bhaarateeya Janashakthi Congress,686
GURUMALLESH,All India Mahila Empowerment Party,662
M.MANJU,Independent,278
RECHANNA M S,Independent,257
NANDEESHA.K.C,Independent,212
M. MADESHA,Samanya Janatha Party (Loktantrik),200
R.B. BASAVEGOWDA,Independent,181
P.PURUSHOTHAM,Independent,170
M.M.MAHESHAGOWDA,Independent,126
None of the Above,None of the Above,1549
