Candidate,Party,Votes
SIDDU BHIMAPPA NYAMGOUD,Indian National Congress,49245
KULKARNI SHRIKANT SUBRAO,Bharatiya Janata Party,46450
NIRANI SANGMESH RUDRAPPA,Independent,24461
DALAWAI SHRISHAIL MURARI,Independent,19753
PARASHURAM MAHARAJANAVAR,Praja Parivartan Party,5167
KOMAR MUTTAPPA HANAMAPPA,Jana Samanyara Party (Karnataka),1524
PARATHANAHALLI TOUFIQ,Independent,1200
SADASHIV KALAL,Janata Dal (Secular),849
RAMAPPA SHETTEPPA SHINGHE,Independent,643
MUSTAFA MAHAMMADHANIF JAGIRDAR,Independent,620
VASUDEV PARAS,Shivsena,545
NAGAPPA ARJUN TALAWAR,Independent,462
HANAMANT MUTTANNA MALAPUR,Independent,423
GOPAL HANAMANT GURAV @ PUJARI,Independent,399
LAKSHMAN GANGAPPA CHINAGUNDI,Independent,354
SHRIKANTH APPARAO MUDHOLE,Bhaarateeya Janashakthi Congress,282
KAMARUDDIN MURASAL,Independent,279
MASALI RAJESAB BURANSAB,Sarva Janata Party,247
MALAGUNDI GURAPPA NANDEPPA,Independent,196
HANAMANT YALLAPPA MANDAGANI,Independent,130
None of the Above,None of the Above,379
