Candidate,Party,Votes
DR.BHARATH SHETTY. Y,Bharatiya Janata Party,98648
B.A.MOHIUDDIN BAVA,Indian National Congress,72000
MUNEER KATIPALLA,Communist Party of India (Marxist),2472
P.M. AHAMMAD,All India Mahila Empowerment Party,900
MAXIM PINTO,Independent,355
SURESH.B.SALIAN,Akhil Bharat Hindu Mahasabha,303
SUPREETH KUMAR POOJARY,Lok Awaz Dal,260
None of the Above,None of the Above,1166
