Candidate,Party,Votes
APPACHU RANJAN M P,Bharatiya Janata Party,70631
B A JIVIJAYA,Janata Dal (Secular),54616
K P CHANDRAKALA,Indian National Congress,38219
BHARGAVA C J,Akhil Bharat Hindu Mahasabha,1124
A MOHAMMED HANEEF,Independent,1005
RASHEEDA BEGUM,All India Mahila Empowerment Party,545
P S YADURAPPA,Independent,483
K B RAJU,Bharatiya Republican Paksha,368
B M THIMMAIAH,Independent,331
C U KISHAN,Independent,283
M KHALEEL,Independent,238
None of the Above,None of the Above,1615
