Candidate,Party,Votes
GOVIND MAKTHAPPA KARAJOL,Bharatiya Janata Party,76431
BANDIWADDAR SATISH CHINNAPPA,Indian National Congress,60949
SHANKAR N NAYAK,Janata Dal (Secular),4431
BASAVANT LAXMAN KAMBALE,Karnataka Rajya Ryota Sangha,2088
G F BADANURU,Independent,1081
ARAVIND KAMBALE,Shivsena,887
RAMESH GONYAGOL,Prabuddha Republican Party,315
BHIMARAO KALAVVAGOL,Republican Party of India (A),239
None of the Above,None of the Above,1608
