Candidate,Party,Votes
R.MANJUNATHA,Janata Dal (Secular),94044
S MUNIRAJU,Bharatiya Janata Party,83369
P.N.KRISHNAMURTHY,Indian National Congress,31711
N.PRATHAP SIMHA,Communist Party of India (Marxist),1674
LOKESH GOWDA. V,Independent,809
DOMINIC SAVIO G,Kannada Paksha,473
DHANANJAYA . L . GOWDA,Karnataka Pragnyavantha Janatha Party,462
SHAMBHULINGE GOWDA (GANDHI VADI),Independent,308
MANJUNATH B.R,Independent,238
M RAJANNA,Independent,228
SARAVANA . V,Independent,214
ASHWINI.C,Independent,213
DR. N. NITHYANANDA,Janata Dal (United),193
KIRAN. C. H,Independent,178
NAGARAJU,Independent,160
None of the Above,None of the Above,2011
