Candidate,Party,Votes
DR. K. SUDHAKAR,Indian National Congress,82006
K.P.BACHEGOWDA,Janata Dal (Secular),51575
NAVEEN KIRAN K.V.,Independent,29433
DR. G.V. MANJUNATHA,Bharatiya Janata Party,5576
N NARASIMHAMURTHY B.E.,Kannada Paksha,1830
ASHOKA.M.B,Ambedkar Samaj Party,851
NAVEEN KUMAR,Independent,369
SUDHAKAR,Independent,285
S.N.TABASSUM,All India Mahila Empowerment Party,232
SUDHAKAR,Independent,226
NAVEEN KUMAR G.,Independent,198
SUDHAKARA,Independent,172
None of the Above,None of the Above,714
