Candidate,Party,Votes
NARAYANAGOWDA,Janata Dal (Secular),88016
K B CHANDRASHEKAR,Indian National Congress,70897
B C MANJU,Bharatiya Janata Party,9819
K N SHANKAREGOWDA,Independent,1524
LOKESH B N,Independent,1139
ASHOK,Jai Bharath Jena Sena Party,381
A C KANTHA,Karnataka Pragnyavantha Janatha Party,290
RAVIKUMAR L R,Independent,273
R JAGADISH,Independent,213
MANJULA,Independent,182
PUTTANNA S GOWDA,Independent,176
None of the Above,None of the Above,1093
