Candidate,Party,Votes
HALADY SRINIVAS SHETTY,Bharatiya Janata Party,103434
RAKESH MALLI,Indian National Congress,47029
THEKKATTE PRAKASH SHETTY,Janata Dal (Secular),2712
RAJIV KOTIAN,Janata Dal (United),2628
SUDHAKARA SOORGOLI,Republican Party of India (A),1028
None of the Above,None of the Above,1813
