Candidate,Party,Votes
R SHANKAR S/O M RAMACHANDRA,Karnataka Pragnyavantha Janatha Party,63910
KRISHNAPPA KOLIWAD S/O BHEEMAPPA KOLIWAD,Indian National Congress,59572
BASAVARAJ DR.KELAGAR,Bharatiya Janata Party,48973
RUKMANI SAWKAR,Independent,1226
SHRIPAD SAWKAR,Janata Dal (Secular),1219
VEERANAGOUDA CHANNAVEERAGOUDA PATIL,Independent,775
HANUMANTAPPA D KABBAR,Independent,740
PARAJAN TABASUM KOPPAL,All India Mahila Empowerment Party,628
SUNIL BANAKAR@ B A SUNIL,Independent,311
DILLEPPPA KENCHAPPA HITTALAMANI,Janata Dal (United),306
SHIVAYOGISAMI MAHANUBHAVIMATH,Independent,241
None of the Above,None of the Above,1420
