Candidate,Party,Votes
R ROSHAN BAIG,Indian National Congress,59742
KATTA SUBRAMANYA NAIDU,Bharatiya Janata Party,44702
SHAIK MASTHAN ALI,Janata Dal (Secular),1313
AYUB KHAN,Aam Aadmi Party,300
ROBERT CLIVE,Independent,198
SYED JAFFAR,All India Mahila Empowerment Party,104
K NARASIMHA,Independent,99
AMJAD KHAN,Ambedkar Samaj Party,96
DR PHILIP MARIAN,Republican Party of India (A),77
ANIL PRAKASH,Independent,70
AMBROSE D' MELLO,Independent,57
JEEVAN STEPHEN,Bhartiya Republican Party (Insan),46
DR MEER LAYAQ HUSSAIN,Independent,42
SHANAWAZ AHMED,Dr. Ambedkar People's Party,34
None of the Above,None of the Above,1654
