Candidate,Party,Votes
DR.K.ANNADANI,Janata Dal (Secular),103038
P.M.NARENDRASWAMY,Indian National Congress,76278
B.SOMASHEKHAR,Bharatiya Janata Party,10808
M.S.SHASHIKUMAR,Indian New Congress Party,820
R.SIDDARAJU,Independent,523
M.KRISHNAMURTHY,Bharatiya Rashtriya Mahila Sarvodaya Congress,363
T.N.SATHEESH KUMAR,Independent,292
M.NANJAPPA,Independent,223
H.MAHADEVA,Independent,222
H.D.DEVAPRASAD,Independent,172
MANTYALINGU,Republican Party of India (A),171
VISHWANATHA G.S.,All India Mahila Empowerment Party,170
T.C.VENKATESH,Rashtriya Manav Vikas Party,124
None of the Above,None of the Above,1471
