Candidate,Party,Votes
B. SREERAMULU,Bharatiya Janata Party,84018
DR.B. YOGESH BABU,Indian National Congress,41973
S. THIPPESWAMY,Independent,41152
PATEL G. M. THIPPESWAMY (YATTINAHATTYGOWDRU),Janata Dal (Secular),15262
S. CHANDRANNA (YATTINAHATTY),Independent,3223
K. RAGHAVENDRA,Pyramid Party of India,1427
S. P. RAJU (SASALAHATTY RAJANNA),Independent,1366
D. H. PARAMESHWARAPPA,Independent,842
P . SUMALATHA,All India Mahila Empowerment Party,791
S. CHANDRANNA,Independent,725
B. GIREESHA,Independent,409
None of the Above,None of the Above,1361
