Candidate,Party,Votes
K G BOPAIAH,Bharatiya Janata Party,77944
ARUN MACHAIAH C S,Indian National Congress,64591
SANKETH POOVAIAH M,Janata Dal (Secular),11224
BASAVARAJU H D,All India Mahila Empowerment Party,1015
NANJAPPA M K,Independent,666
H D DODDAIAH,Independent,599
None of the Above,None of the Above,1733
