Candidate,Party,Votes
S.A. RAVINDRANATH,Bharatiya Janata Party,76540
S.S. MALLIKARJUN,Indian National Congress,72469
ANANDA. M,Janata Dal (Secular),5381
ANANDAPPA JYOTHI,Shivsena,541
M.HANUMANTHAPPA,Independent,260
S.S. SUBHAN KHAN,Independent,219
B. P. MADEV,Independent,184
B .V. THIPPESWAMY. GOSHALE,Independent,177
HEBBALU KENCHAVEERAPPA,Vichara Jagruthi Congress Paksha,148
NAGARAJ. S,Sampoorna Bharat Kranti Party,123
NASEER HUSSAIN,Karnataka Pragnyavantha Janatha Party,111
K.G.P. GNANAPRAKASH,Independent,104
None of the Above,None of the Above,1070
