Candidate,Party,Votes
SHAMANUR SHIVASHANKARAPPA,Indian National Congress,71369
YASHAVANTHA RAO JADHAV,Bharatiya Janata Party,55485
J. AMANULLA KHAN,Janata Dal (Secular),6020
NOWSHIN TAJ,All India Mahila Empowerment Party,869
AHAMED KABEER ALI,Independent,514
SADIQ K,Independent,261
MUDDAPURADA REHMAN SAB,Lok Awaz Dal,202
H. SHAIK HABEEBULLA,Karnataka Pragnyavantha Janatha Party,192
RAGHAVENDRA K L,Aam Aadmi Party,157
RIZWAN SAB H B,Janahitha Paksha,116
None of the Above,None of the Above,888
