Candidate,Party,Votes
S.T SOMASHEKHAR,Indian National Congress,115273
T N JAVARAYI GOWDA,Janata Dal (Secular),104562
JAGGESH,Bharatiya Janata Party,59308
SHASHIDHAR C,Independent,1124
SHAMBULINGE GOWDA,Independent,1082
ASHOK B,Rashtriya Manav Vikas Party,829
VENUGOPAL M N,Independent,609
K M MAHADEVA,Independent,502
BEERESH. N,Independent,411
NAGARAJU C R,Independent,396
NIRMALA M,Communist Party of India (Marxist-Leninist) (Liberation),302
SEETARAMU G V,Independent,220
NAGARATHNA,Independent,214
B R PRAVEEN KUMAR,Karnataka Pragnyavantha Janatha Party,177
CHAITHANYA T S,Independent,142
M U VENKATESHAIAH,Shivsena,141
BHAGYAMMA,Republican Sena,134
SARASHWATHI,Rani Chennamma Party,119
H GOPALAKRISHNA RAO,Independent,113
MURALI H,Bharatiya Prajagala Kalyana Paksha,94
None of the Above,None of the Above,1453
