Candidate,Party,Votes
R. AKHANDA SRINIVASAMURTHY,Indian National Congress,97574
B. PRASANNAKUMAR,Janata Dal (Secular),15948
SUSHEELA DEVARAJ,Bharatiya Janata Party,9479
D.ANBARASAN,Independent,636
PRIYA,Independent,324
SIDDAGANGAIAH.R (SIDDU),Aam Aadmi Party,301
RAGHURAMAN.G,Republican Party of India (A),160
AYYAPPA .K,Independent,134
SRIKANTH SEETHARAM,All India Mahila Empowerment Party,108
SHIVAKUMAR,Federal Congress of India,103
SUNSTAR D. JAYARAM,Gareeb Aadmi Party,102
GUNALAN. M,Independent,92
M. LOKESH,Rashtriya Manav Vikas Party,69
None of the Above,None of the Above,1402
