Candidate,Party,Votes
GULIHATTI D SHEKAR,Bharatiya Janata Party,90562
B G GOVINDAPPA,Indian National Congress,64570
SHASHIKUMAR,Janata Dal (Secular),1575
M S SATHISH JANGAMA,Independent,562
SHAMANTH A R,Independent,287
C S THYAGARAJAN,Independent,221
PRAKASHMURTHY,Karnataka Jantha Paksha,188
G R REVANNA GORAVINAKALLU,Independent,157
MANJUNATHA V BANDRE,Karnataka Pragnyavantha Janatha Party,141
B T GIRISHA,Independent,135
M C DHANANJAYA,Independent,122
None of the Above,None of the Above,1326
