Candidate,Party,Votes
RAJKUMAR PATIL,Bharatiya Janata Party,80668
DR. SHARAN PRAKASH RUDRAPPA PATIL,Indian National Congress,73468
SUNITA MAHANTESH TALAWAR MALKHED,Janata Dal (Secular),2075
REKHA DAYANAND HULASAGUD,All India Mahila Empowerment Party,1099
None of the Above,None of the Above,1260
